Cliente;Sito;Citta;DALLE_M;ALLE_M;DALLE_P;ALLE_P;0;1;2;3;4;5;Indirizzo_sito
COMUNE DI FISCAGLIA;sede legale, MUNICIPIO;MIGLIARINO;;;;;;;;;;;PIAZZA DELLA REPUBBLICA 1 , MIGLIARINO 44025 , FE
COMUNE DI FISCAGLIA;Sede op, EX SEDE COMUNALE MASSA FISCAGLIA;MASSA FISCAGLIA;;;;;;;;;;;P,ZZA GARIBALDI 1 , MASSA FISCAGLIA , FE
COMUNE DI FISCAGLIA;Sede op, EX SEDE COMUNALE MIGLIARO;MIGLIARO;;;;;;;;;;;P,ZZA XXV APRILE 8 , MIGLIARO 44020 , FE
COMUNE DI FISCAGLIA;Sede op, VIA SAN PIETRO;MASSA FISCAGLIA;;;;;;;;;;;VIA SAN PIETRO , MASSA FISCAGLIA 44025 , FE
COMUNE DI FISCAGLIA;Sede op, CENTRO OPERATIVO COMUNALE CN,12;MASSA FISCAGLIA;;;;;;;;;;;, MASSA FISCAGLIA
COMUNE DI FISCAGLIA;Sede op, LA TANA DEI LEONCINI;MIGLIARO;;;;;;;;;;;VIA MATTEOTTI 119 , MIGLIARO
COMUNE DI FISCAGLIA;Sede op, POLIZIA LOCALE;MIGLIARO;;;;;;;;;;;VIA ARIOSTO 69 , MIGLIARO
COMUNE DI FISCAGLIA;sede op, AMBULATORIO INFERMIERE DI FAMIGLIA E COMUNITA\';MIGLIARO;;;;;;;;;;;VIA MATTEOTTI 121 , MIGLIARO 44020 , FE
COMUNE DI LAGOSANTO;Sede op, NUOVO POLO SCOLASTICO;LAGOSANTO;;;;;;;;;;;VIA GIOVANNI XXIII , LAGOSANTO 44023 , FE
COMUNE DI OCCHIOBELLO;sede op, TERRITORIO COMUNALE;OCCHIOBELLO;;;;;;;;;;;, OCCHIOBELLO 45030 , RO
COMUNE DI OCCHIOBELLO;sede op, SCUOLA ASILO NIDO COMUNALE - LA COCCINELLA;SANTA MARIA MADDALENA;;;;;;;;;;;VIA KENNEDY, 1 , SANTA MARIA MADDALENA 45030 , RO
COMUNE DI OCCHIOBELLO;sede op, SCUOLA ELEMENTARE COLLODI VIA BASSA;SANTA MARIA MADDALENA;;;;;;;;;;;VIA BASSA , SANTA MARIA MADDALENA 45030 , RO
COMUNE DI OCCHIOBELLO;sede op, SCUOLA PRIMARIA CARDUCCI;OCCHIOBELLO;;;;;;;;;;;VIA SAVONAROLA, 24 , OCCHIOBELLO 45030 , RO
COMUNE DI OCCHIOBELLO;sede op, SCUOLA MATERNA E, DE AMICIS;OCCHIOBELLO;;;;;;;;;;;VIA FIESSO , OCCHIOBELLO 45030 , RO
COMUNE DI OCCHIOBELLO;sede op, SCUOLA AMENDOLA;SANTA MARIA MADDALENA;;;;;;;;;;;VIA AMENDOLA , SANTA MARIA MADDALENA 45030 , RO
COMUNE DI OCCHIOBELLO;sede op, VICOLO ARIOSTO;OCCHIOBELLO;;;;;;;;;;;VICOLO ARIOSTO , OCCHIOBELLO 45030 , RO
COMUNE DI OCCHIOBELLO;Sede op, VIA NANNY LOY;SANTA MARIA MADDALENA;;;;;;;;;;;VIA NANNY LOY , SANTA MARIA MADDALENA 45030 , RO
COMUNE DI RIVA DEL PO;sede op, DELEGAZIONE MUNICIPALE;;;;;;;;;;;;
COMUNE DI RIVA DEL PO;sede op, SCUOLA ELEMENTARE DI BERRA;BERRA - RIVA DEL PO;;;;;;;;;;;VIA MONTESSORI 8 , BERRA - RIVA DEL PO 44030 , FE
COMUNE DI RIVA DEL PO;sede op, PLESSI SCOLASTICI ACCORPATI DI RO;;;;;;;;;;;;
COMUNE DI RIVA DEL PO;sede op, ASILO NIDO DI BERRA;BERRA - RIVA DEL PO;;;;;;;;;;;VIA MONTESSORI 33 , BERRA - RIVA DEL PO 44030 , FE
COMUNE DI RIVA DEL PO;sede op, PALESTRA COMUNALE DI BERRA;BERRA;;;;;;;;;;;VIA MONTESSORI 5 , BERRA 44033 , FE
COMUNE DI RIVA DEL PO;sede op, SCUOLA INFANZIA SERRAVALLE;SERRAVALLE - RIVA DEL PO;;;;;;;;;;;VIA A, CAPATTI 14 , SERRAVALLE - RIVA DEL PO 44030 , FE
COMUNE DI RIVA DEL PO;sede op, SCUOLA MATERNA DI COLOGNA;COLOGNA;;;;;;;;;;;VIA XXV APILE 22 , COLOGNA 44033 , FE
COMUNE DI RIVA DEL PO;sede op, SCUOLA MATERNA DI ZOCCA;ZOCCA - RIVA DEL PO;;;;;;;;;;;VIA RISORGIMENTO , ZOCCA - RIVA DEL PO 44030 , FE
COMUNE DI RIVA DEL PO;sede op, SCUOLA MEDIA UGO FOSCOLO - BERRA;BERRA - RIVA DEL PO;;;;;;;;;;;VIA POSTALE 35 , BERRA - RIVA DEL PO 44030 , FE
COMUNE DI SAN LAZZARO DI SAVENA;sede op, SCUOLA DELL\'INFANZIA CANOVA;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA F,LLI CANOVA 49 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, SCUOLA DELL\'INFANZIA E PRIMARIA FANTINI;SAN PIETRO IN CASALE;;;;;;;;;;;VIA GALETTA 40 , SAN PIETRO IN CASALE 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, POLO SCOLASTICO VIA FORNACE;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA FORNACE 14/O , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, SCUOLA SECONDARIA I GRADO RODARI;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA DELLE RIMEMBRANZE 28 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, SCUOLA DELL\'INFANZIA CICOGNA;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA RENATA VIGANO\' 3 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, SCUOLA DELL\'INFANZIA DI VITTORIO;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA P, POGGI 7 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, SCUOLA DELL\'INFANZIA IDICE;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA EMILIA 302 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, SCUOLA DELL\'INFANZIA PONTICELLA;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA S, RUFFILLO 3 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, SCUOLA PRIMARIA DON MILANI;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA ALDO MORO 10 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, SCUOLA PRIMARIA DONINI 1;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA P, POGGI 5 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, SCUOLA PRIMARIA DONINI 2;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA PAOLO POGGI 5 , SAN LAZZARO DI SAVENA 40068 , BOLOGNA
COMUNE DI SAN LAZZARO DI SAVENA;sede op, SCUOLA PRIMARIA DON TROMBELLI;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA FONDE\' 25 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, NIDO LA TANA DEI CUCCIOLI;PONTICELLA - SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA DEI GELSI 2 , PONTICELLA - SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, NIDO MARTIRI DI PIZZOCALVO (MARIA TREBBI);SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA MARTIRI DI PIZZOCALVO 62 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, POLO D\'INFANZIA FALO\' CASTEL DE\' BRITTI;CASTEL DE\' BRITTI - SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA IDICE 38 , CASTEL DE\' BRITTI - SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede legale;SAN LAZZARO DI SAVENA;;;;;;;;;;;PIAZZA BRACCI 1 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, ARCHIVIO COMUNALE;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA GRAMSCI , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, MUSEO DONINI;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA FRATELLI CANOVA 49 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, MEDIATECA;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA CASELLE 2 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, MEDIALAB;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA EMILIA 302A , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, OFFICINE SANLAB;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA EMILIA 253/A , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, CIMITERO;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA EMILIA 296 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, MAGAZZINO SOLIDALE;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA VITTORIA 7/A , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, CASA BASTELLI - EMPORIO SOLIDALE (AMALIO);SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA EMILIA 297 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, PALA YURI;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA DELLA REPUBBLICA 4 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, PALESTRA RODRIGUEZ;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA DELLA REPUBBLICA 2 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, ORTI COMUNALI;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA GALLETTA , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, ORTI COMUNALI VIA BELLARIA;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA BELLARIA , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, VIA AMENDOLA 10/12;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA AMENDOLA 10/11 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, VIA MINARINI ANGOLO VIA EMILIA (ISOLA ECOLOGICA);SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA MINARINI , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, VIA KENNEDY INCROCIO VIA MEZZINI;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA KENNEDY INCROCIO VIA MEZZINI , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, VIA F,LLI CANOVA (ISOLA ECOLOGICA);SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA F,LLI CANOVA , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, VIA SAN LAZZARO (da Piazza Bracci a Via Repubblica);SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA SAN LAZZARO , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, VIA MARTIRI DELLE FOIBE;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA MARTIRI DELLE FOIBE , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, VIA SEMINARIO;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA SEMINARIO , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, CAMPO SINTI;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA TOMBA FORELLA 2 , SAN LAZZARO DI SAVENA 40062 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, VIA VITTORIA;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA VITTORIA , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;Sede op, VIA NAZIONAL TOSCANA;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA NAZIONAL TOSCANA , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;Sede op, STRADELLO PEDONALE VIA DELLA REPUBBLICA - VIA BONAVIA;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA DELLA REPUBBLICA , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, SCUOLA PRIMARIA PEZZANI;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA DELLA REPUBBLICA 25 , SAN LAZZARO DI SAVENA 40068 , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, VIA JUSSI CIV 151;FARNETO;;;;;;;;;;;, FARNETO , BO
COMUNE DI SAN LAZZARO DI SAVENA;sede op, VIA PALAZZETTI;SAN LAZZARO DI SAVENA;;;;;;;;;;;VIA PALAZZETTI STRADA CHIUSA CIV 12-12H , SAN LAZZARO DI SAVENA , BO
COMUNE DI STIENTA;sede op, TERRITORIO COMUNALE;STIENTA;;;;;;;;;;;TERRITORIO COMUNALE , STIENTA 45039 , RO
COMUNE DI STIENTA;sede op, NIDO+CUCINA;STIENTA;;;;;;;;;;;VIA MARCONI, 59 , STIENTA 45039 , RO
COMUNE DI STIENTA;sede op, SCUOLA ELEMENTARE+MENSA;STIENTA;;;;;;;;;;;P,ZZA MARTIRI DELLA RESISTENZA, 72 , STIENTA 45039 , RO
COMUNE DI STIENTA;sede op, SCUOLA MEDIA+PARCO;STIENTA;;;;;;;;;;;VIA MAFFEI, 195 , STIENTA 45039 , RO
COMUNE DI TERRE DEL RENO;sede op, CIMITERO;MIRABELLO - TERRE DEL RENO;;;;;;;;;;;CORSO ITALIA , MIRABELLO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, MAGAZZINO SANT\'AGOSTINO;SANT\'AGOSTINO - TERRE DEL RENO;;;;;;;;;;;VIA CAMPO SPORTIVO 5 , SANT\'AGOSTINO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, MAGAZZINO;TERRE DEL RENO;;;;;;;;;;;VIA A, MORO , TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, NIDO SANT\'AGOSTINO;SANT\'AGOSTINO - TERRE DEL RENO;;;;;;;;;;;CORSO ROMA 2 , SANT\'AGOSTINO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, SCUOLA ELEMENTARE SANT\'AGOSTINO;SANT\'AGOSTINO - TERRE DEL RENO;;;;;;;;;;;VIALE EUROPA 41 , SANT\'AGOSTINO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, SCUOLA ELEMENTARE DOSSO;DOSSO - TERRE DEL RENO;;;;;;;;;;;PIAZZA GARIBALDI , DOSSO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, SCUOLA MEDIA MIRABELLO;MIRABELLO - TERRE DEL RENO;;;;;;;;;;;VIA GIOVECCA 34 , MIRABELLO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, ISTITUTO COMPRENSIVO DANTE ALIGHIERI;SANT\'AGOSTINO;;;;;;;;;;;VIALE EUROPA, 49 , SANT\'AGOSTINO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, COMUNALE SANT\'AGOSTINO;SANT\'AGOSTINO - TERRE DEL RENO;;;;;;;;;;;VIA D, ALIGHIERI 2 , SANT\'AGOSTINO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, ARCHIVIO SANT\'AGOSTINO;SANT\'AGOSTINO - TERRE DEL RENO;;;;;;;;;;;VIA STATALE 189/A , SANT\'AGOSTINO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, BIBLIOTECA MIRABELLO;MIRABELLO - TERRE DEL RENO;;;;;;;;;;;VIA CAVOUR 6 , MIRABELLO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, BIBLIOTECA SANT\'AGOSTINO;SANT\'AGOSTINO - TERRE DEL RENO;;;;;;;;;;;VIA STATALE 191 , SANT\'AGOSTINO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, COMUNALE MIRABELLO;MIRABELLO - TERRE DEL RENO;;;;;;;;;;;CORSO ITALIA 373 , MIRABELLO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, POLIZIA MUNICIPALE;SAN CARLO - TERRE DEL RENO;;;;;;;;;;;PIAZZA POLA , SAN CARLO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, NIDO MIRABELLO;MIRABELLO - TERRE DEL RENO;;;;;;;;;;;VIA CADUTI DI NASSIRIYA 8 , MIRABELLO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, SCUOLA ELEMENTARE MIRABELLO;MIRABELLO - TERRE DEL RENO;;;;;;;;;;;PIAZZA RODA , MIRABELLO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, SCUOLA ELEMENTARE SAN CARLO;SAN CARLO - TERRE DEL RENO;;;;;;;;;;;VIA RISORGIMENTO 118 , SAN CARLO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, SCUOLA MATERNA MIRABELLO;MIRABELLO - TERRE DEL RENO;;;;;;;;;;;VIA GRAMSCI , MIRABELLO - TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, TERRITORIO COMUNALE;TERRE DEL RENO;;;;;;;;;;;TERRITORIO COMUNALE , TERRE DEL RENO 44047 , FE
COMUNE DI TERRE DEL RENO;sede op, CADITOIE COMUNALI - DERATTIZZAZIONE;;;;;;;;;;;;
COMUNE DI TRESIGNANA;sede op, TEATRO COMUNALE;FORMIGNANA;;;;;;;;;;;VIALE MARI 4 , FORMIGNANA 44035 , FE
COMUNE DI VIGARANO MAINARDA;sede op, TERRITORIO COMUNALE;VIGARANO MAINARDA;;;;;;;;;;;VIA RONDONA ANGOLO VIA MANTOVA , VIGARANO MAINARDA , FE
COMUNE DI VOGHIERA;Sede op, CASERMA CARABINIERI;VOGHIERA;;;;;;;;;;;VIA PROVINCIALE 122 , VOGHIERA 44019 , FE
COMUNE DI VOGHIERA;Sede op, MAGAZZINI COMUNALI;VOGHIERA;;;;;;;;;;;VIA B, BUOZZI 12/B , VOGHIERA 44019 , FE
COMUNE DI VOGHIERA;Sede op, CANALI COMUNALI;VOGHIERA;;;;;;;;;;;, VOGHIERA
CONDOMINIO 22 ALLOGGI;Sede;MIGLIARINO;;;;;x;x;x;x;x;x;VIA GALILEO GALILEI e CESARE BATTISTI , MIGLIARINO 44027 , FE
CONDOMINIO 4 VIALI;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA FIUME 20/24-PIAZZA XXIV MAGGIO 9/23/37 , FERRARA 44121 , FE
CONDOMINIO AIRONE- VIA RAVERA;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA RAVERA 15/17/19 , FERRARA 44122 , FE
CONDOMINIO ALA;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA BOLOGNA 93-VIA GORETTI 3 , FERRARA 44123 , FE
CONDOMINIO ANNA FRANK 26;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA ANNA FRANK 26 , FERRARA 44124 , FE
CONDOMINIO ARCOBALENO ARGENTA;sede legale;ARGENTA;;;;;x;x;x;x;x;x;VIA B, TISI 8-8/1 , ARGENTA 44011 , FE
CONDOMINIO ARIANUOVA 66;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA ARIANUOVA 66 , FERRARA 44121 , FE
CONDOMINIO AZZO NOVELLO 5;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA AZZO NOVELLO 5 , FERRARA 44121 , FE
CONDOMINIO BAGARO 12;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA BAGARO 12 , FERRARA 44121 , FE
CONDOMINIO BASTIANINO 16;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA BASTIANINO 16 , FERRARA 44124 , FE
CONDOMINIO BELL\'ORIZZONTE;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA BOLOGNA 749 , FERRARA 44124 , FE
CONDOMINIO BELVEDERE;sede legale;FERRARA;8.00;08:30;;;;x;;;x;;VIALE IV NOVEMBRE 74-82/VIA DARSENA 148/B-148/F , FERRARA 44121 , FE
CONDOMINIO BENTIVOGLIO 160-162;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA BENTIVOGLIO 160/162 ANGOLO F,LLI ROSSELLI 34 , FERRARA 44122 , FE
CONDOMINIO BIAGIO ROSSETTI 36;Sede;FERRARA;;;;;x;x;x;x;x;x;CORSO BIAGIO ROSSETTI 36 , FERRARA 44121 , FE
CONDOMINIO BOCCACANALE DI SANTO STEFANO 32;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA BOCCACANALE DI SANTO STEFANO 32 , FERRARA 44121 , FE
CONDOMINIO BOCCALEONE 5;Sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA BOCCALEONE 5 , FERRARA 44121 , FE
CONDOMINIO BOIARDO 23;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA M,M, BOIARDO 23 , FERRARA , FE
CONDOMINIO BORGO AGNELLA;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA PRINELLA 67 , FERRARA 44123 , FE
CONDOMINIO BORGO PIOPPA;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA PIOPPA 251 , FERRARA 44123 , FE
CONDOMINIO BORGOLEONI 93;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA BORGO DEI LEONI 93 , FERRARA 44121 , FE
CONDOMINIO BULGARELLI 18;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA BULGARELLI 18 , FERRARA 44122 , FE
CONDOMINIO CALDIROLO 10;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA CALDIROLO 10-10/A-10/B , FERRARA 44123 , FE
CONDOMINIO CANAL BIANCO 37/39 MESOLA;sede legale;MESOLA;;;;;x;x;x;x;x;x;VIA CANAL BIANCO 37/39 , MESOLA 44026 , FE
CONDOMINIO CANEVA 7/9;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA CANEVA 7/9 , FERRARA 44121 , FE
CONDOMINIO CAPRIOLO;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA BOLZONI 38 , FERRARA 44122 , FE
CONDOMINIO CARLO MAYR 265;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA CARLO MAYR 265 , FERRARA 44121 , FE
CONDOMINIO CARMINE;Sede;COMACCHIO;;;;;x;x;x;x;x;x;VIA DEL CARMINE 30 , COMACCHIO 44022 , FE
CONDOMINIO CASABELLA 2;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA TROTTI MOSTI N,65 , FERRARA 44122 , FE
CONDOMINIO CASELLI 13;"sede op, SCALA ""B"" e ""F""";FERRARA;;;;;x;x;x;x;x;x;VIA CASELLI 13B e 13F , FERRARA 44124 , FE
CONDOMINIO CASSOLI 55;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA CASSOLI 55 , FERRARA 44121 , FE
CONDOMINIO CASTELLO 75;sede legale;FERRARA;;;;;x;x;x;x;x;x;PIAZZETTA DELL\'OSSOLA 11 ANGOLO VIA PADOVA 42 , FERRARA 44122 , FE
CONDOMINIO CAVOUR 15;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIALE CAVOUR 11-15 , FERRARA 44121 , FE
CONDOMINIO CAVOUR 5/A - VIA FRIZZI - LARGO CASTELLO;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIALE CAVOUR 5/A-VIA FRIZZI-LARGO CASTELLO , FERRARA 44121 , FE
CONDOMINIO CAVOUR 69/PANFILO 5;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIALE CAVOUR 69-VIA PANFILO 5 , FERRARA 44121 , FE
CONDOMINIO CENTOVERSURI 24;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA CENTOVERSURI 24 , FERRARA 44121 , FE
CONDOMINIO CENTOVERSURI 38;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA CENTOVERSURI 38 , FERRARA 44121 , FE
CONDOMINIO CENTRO COMMERCIALE EX COOP - VIALE KRASNODAR;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIALE KRASNODAR, 25 , FERRARA 44124 , FE
CONDOMINIO CENTRO RESIDENZIALE ESTENSE;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA POMPOSA, 1-35 , FERRARA 44123 , FE
CONDOMINIO CHECCHI-GOBERTI;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA B, ROSSETTI 31-ARIOSTO 64 , FERRARA 44121 , FE
CONDOMINIO CITTADELLA 20;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA CITTADELLA 20 , FERRARA 44121 , FE
CONDOMINIO COLOMBAROLA 82-82/A-82/B;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA COLOMBAROLA 82-82/B-84 , FERRARA 44123 , FE
CONDOMINIO COMACCHIO 187 189;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA COMACCHIO 187 189 , FERRARA 44124 , FE
CONDOMINIO COMACCHIO 321;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA COMACCHIO 321 , FERRARA 44124 , FE
CONDOMINIO COMACCHIO 638;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA COMACCHIO 638 , FERRARA 44124 , FE
CONDOMINIO CONTRADA DEL MIRASOLE 62;Sede legale;FERRARA;;;;;x;x;x;x;x;x;CONTRADA DEL MIRASOLE 62 , FERRARA 44121 , FE
CONDOMINIO CONTRADA DELLA ROSA 18/30;SEDE LEALE;FERRARA;;;;;x;x;x;x;x;x;VIA CONTRADA DELLA ROSA 18/30-VIA ARMARI 28 , FERRARA 44121 , FE
CONDOMINIO CORTI DI MEDORO;sede legale + PARCHEGGIO SOTTERRANEO;FERRARA;;;;;x;x;x;x;x;x;VIA BEETHOVEN 15/17/19/21 , FERRARA 44124 , FE
CONDOMINIO COSTANZA;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA GORETTI 50 , FERRARA 44123 , FE
