Cliente;Sito;Citta;DALLE_M;ALLE_M;DALLE_P;ALLE_P;0;1;2;3;4;5;Indirizzo_sito
AVIS-ASSOCIAZIONE VOLONTARI ITALIANI SANGUE;sede op, RENAZZO;RENAZZO;;;;;x;x;x;x;x;;VIA TADDIA 1 , RENAZZO 44045 , FE
AVIS-ASSOCIAZIONE VOLONTARI ITALIANI SANGUE;sede op, OSTELLATO;OSTELLATO;;;;;x;x;x;x;x;;VIA ROMA 6 , OSTELLATO 44020 , FE
AVIS-ASSOCIAZIONE VOLONTARI ITALIANI SANGUE;sede op, MASSA FISCAGLIA;MASSA FISCAGLIA;;;;;x;x;x;x;x;;PIAZZA GARIBALDI 4 , MASSA FISCAGLIA 44025 , FE
AVIS-ASSOCIAZIONE VOLONTARI ITALIANI SANGUE;sede op, MIRABELLO;MIRABELLO;;;;;x;x;x;x;x;;VIA E, MASETTI , MIRABELLO 44043 , FE
AVIS-ASSOCIAZIONE VOLONTARI ITALIANI SANGUE;sede op, LAGOSANTO;LAGOSANTO;;;;;x;x;x;x;x;;VIA GRAMSCI 25 , LAGOSANTO 44023 , FE
AVIS-ASSOCIAZIONE VOLONTARI ITALIANI SANGUE;sede op, BONDENO;BONDENO;;;;;x;x;x;x;x;;VIA DEI MILLE 16 , BONDENO 44012 , FE
AVIS-ASSOCIAZIONE VOLONTARI ITALIANI SANGUE;sede op, POGGIO RENATICO;POGGIO RENATICO;;;;;x;x;x;x;x;;VIA MARCONI 100A , POGGIO RENATICO 44028 , FE
AZIENDA AGRICOLA LE PRADINE;sede legale AZIENDA AGRICOLA;MIRABELLO;;;;;;;;;;;CORSO ITALIA 537 , MIRABELLO 44047 , FE
AZIENDA AGRICOLA LE PRADINE;sede op, AGRITURISMO LE PRADINE;MIRABELLO;;;;;;;;;;;CORSO ITALIA 537 , MIRABELLO 44047 , FE
AZIENDA AGRICOLA LE PRADINE;sede op, RISTORANTE;MIRABELLO;;;;;;;;;;;CORSO ITALIA 537 , MIRABELLO 44047 , FE
AZIONI - SOCIETA\' COOPERATIVA SOCIALE ETS;sede op, VIA PREVIATI 11;BERRA;;;;;x;x;x;x;x;;VIA PREVIATI 11 , BERRA 44033 , FE
AZIONI - SOCIETA\' COOPERATIVA SOCIALE ETS;sede op, CASA DI SOLE - PORPORANA;PORPORANA;;;;;x;x;x;x;x;;VIA CARLO MARTELLI 315-317 , PORPORANA 44123 , FE
AZIONI - SOCIETA\' COOPERATIVA SOCIALE ETS;sede op, RUNCO;FERRARA;;;;;x;x;x;x;x;;VIA ARGINELLO 3 , FERRARA 44015 , FE
BAKE OFF ITALIANA SRL;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA CASTELBOLOGNESI 6 , FERRARA 44124 , FE
BALDI CRISTIANO;Sede;PONTELAGOSCURO;;;;;x;x;x;x;x;x;VIA DEL BOSCHINO 2 , PONTELAGOSCURO 44123 , FE
BAR BELRIGUARDO S,A,S DI BERGAMINI VINCENZO & C,;sede legale;FERRARA;10;12;;;x;x;x;x;x;x;VIA PROVINCIALE GUALDO 302 , FERRARA 44019 , FE
BAR CAFFE\' ROYAL DI VITO SRL;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA MAZZINI 57 , FERRARA 44121 , FE
BAR DELLO SPORT CHIARA & ALICE SISTERS S,R,L,S,;sede legale;FERRARA;;;;;x;;x;x;x;;VIA CALZOLAI 216/218 , FERRARA 44123 , FE
BAR MIRO\' DI YANG FANGPING;sede legale;BERRA;;;;;x;x;x;x;x;;VIA POSTALE 91 , BERRA 44033 , FE
BAR RENO DI HUAIZHEN;Sede legale;FERRARA;;;;;x;x;x;x;x;;VIA BOLOGNA 167 , FERRARA 44121 , FE
BAR24 DI EDILNOVA COSTRUZIONI SRL;Sede op, BAR 24 - DISTRIBUTORE ESSO;VOGHIERA;;;;;x;x;x;x;x;x;SS 16 ADRIATICA M 92+565 , VOGHIERA 44019 , FE
BARAVELLI CLAUDIO;Sede;BONDENO;;;;;x;x;x;x;x;x;VIA COMUNALE 29/C , BONDENO 44012 , FE
BARISON ANNA MARIA;SEDE LEGALE;COCCANILE;;;;;x;x;x;x;x;x;VIA BARONCINI 59 , COCCANILE 44034 , FE
BASELL POLIOLEFINE ITALIA SRL;sede op, REPARTO K-194;FERRARA;;;;;x;x;x;x;x;;P,LE DONEGANI , FERRARA , FE
BEAUTY CAR SRL;sede legale VIA BOLOGNA;FERRARA;;;;;;;;;;x;VIA BOLOGNA 762 , FERRARA 44124 , FE
BED & BREAKFAST IL FRATTIERO di Silvio Zecchini;sede legale;GUALDO;;;;;x;x;x;x;x;x;VIA GIOTTO 2 , GUALDO 44019 , FE
BELPASSO SRL;sede legale BELPASSO;FERRARA;;;;;x;x;x;x;x;;VIA CASALECCHIO 7 , FERRARA 44123 , FE
BENVIC SRL;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA MARCONI 73 , FERRARA 44122 , FE
BERGAMASCO ELIA;sede op, CHIOSCO PIADINERIA;FERRARA;;;;;x;x;x;x;x;x;VIA BOLOGNA 405 , FERRARA 44124 , FE
BERGAMI ALBERTA;sede legale;CORONELLA;;;;;x;x;x;x;x;x;VIA IMPERIALE 58 , CORONELLA 44020 , FE
BERGAMI LAURA;sede op, MAMMA;POGGIO RENATICO;;;;;x;x;x;x;x;x;via cavour 126 , POGGIO RENATICO 44028 , FE
BERTOLINI GABRIELE;Sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA ARGINE DUCALE 161 , FERRARA 44122 , FE
BERTOLINI LUCIANO;sede legale;QUARTESANA;;;;;x;x;x;x;x;x;VIA RABBIOSA 41 , QUARTESANA 44124 , FE
BETA SRL GESTIONI CASE DI RIPOSO;Sede CONA;FERRARA;;;;;x;x;x;x;x;;VIA COMACCHIO 831 , FERRARA 44124 , FE
BETA SRL GESTIONI CASE DI RIPOSO;Sede op, CODREA VIA TAMBELLINA 80;CODREA;;;;;x;x;x;x;x;;VIA TAMBELLINA 80 , CODREA , FE
BEYFIN SPA;sede op, PARASACCO;FERRARA;;;;;x;x;x;x;x;;VIA POMPOSA 537 , FERRARA 44123 , FE
BEYFIN SPA;sede op, CASALBORSETTI;RAVENNA;;;;;x;x;x;x;x;;VIA DELLE MAONE 3 , RAVENNA 48123 , RA
BIANCHI ALBINO;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA RIPAGRANDE 129 , FERRARA 44121 , FE
BIRRERIA GIORI DI BONVENTO GIORGIO E FEBBRARO DAVID SNC;sede op, TIFFANY;FERRARA;;;;;x;;x;x;x;x;PIAZZA MUNICIPALE, 24 , FERRARA 44121 , FE
BIRRERIA GIORI DI BONVENTO GIORGIO E FEBBRARO DAVID SNC;sede legale BIRRERIA GIORI;FERRARA;;;;;x;;x;x;x;x;PIAZZA G,SAVONAROLA 1 , FERRARA 44121 , FE
BOARI ENRICO;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA CANAPA 40 , FERRARA , FE
BOCCHIMPANI SRL;Sede;FERRARA;;;;;x;x;x;x;x;;VIA S,MARGHERITA 281 , FERRARA 44123 , FE
BONFIGLIOLI ENGINEERING S,R,L, SOCIO UNICO;sede op,;FERRARA;;;;;x;x;x;x;x;;VIA AMERIGO VESPUCCI 20 , FERRARA 44124 , FE
BORCHI TOMMASO;sede legale;QUARTESANA;;;;;x;x;x;x;x;x;VIA SELVA 75 , QUARTESANA 44124 , FE
BOSCHETTO 26 SOCIETA\' COOPERATIVA SOCIALE - E,T,S, - IMPRESA SOCIALE;sede op,;FERRARA;;;;;x;x;x;x;x;;VIA FABBRI 406 , FERRARA 44124 , FE
BRANCALEONI ROBERTA;SEDE LEGALE;CODIGORO;;;;;x;x;x;x;x;x;VIA I MAGGIO 19 , CODIGORO 44021 , FE
BREGOLI ANNALISA;Sede legale;PONTE RODONI;;;;;x;x;x;x;x;x;VIA VIGARANO 122 PONTE RODONI , PONTE RODONI 44012 , FE
BRIGHINA MARTA LUCIA;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA BONETTI 32 , FERRARA 44122 , FE
BRONDI MATTEO;Sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA RUGGERO BOVELLI 38 , FERRARA 44121 , FE
BUCCOLIERO COSIMETTA;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA PIOPPA 303/P , FERRARA 44123 , FE
BULLONERIA MORELLI DI R,MORELLI & C, SAS;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA PUTINATI, 16 , FERRARA 44123 , FE
BURINI DARIO;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA SANTA MARIA DEGLI ANGELI 38 , FERRARA 44121 , FE
C,A,M,P,I, SRL;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA DIAMANTINA 15 , FERRARA 44122 , FE
C,I,D,A,S,;sede op, BAURA;BAURA;;;;;x;x;x;x;x;;VIA MAGNANINA PICCOLA 8A , BAURA 44034 , FE
C,I,D,A,S,;sede op, CRA PORTOMAGGIORE;PORTOMAGGIORE;;;;;x;x;x;x;x;;VIA DE AMICIS 22 , PORTOMAGGIORE 44015 , FE
